sentence 	 label
"forbes.com - after earning a ph.d. in sociology, danny bazil riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. but, at 32, ""buying insurance was the furthest thing from my mind,"" says riley . "	2
the company running the japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks . 	2
saudi arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices . 	2
globalization does strange things to people. a day in the life of a manila philippines based business consultant - proving that you really can talk about muddy walters, bluegrass and work all on the same page.. . 	2
autodesk  this week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing industries. autodesk buzzsaw lets multiple, dispersed project participants -- including building owners, developers, architects, construction teams, and facility managers -- share and manage data throughout the life of a project, according to autodesk officials . 	2
london -- the u.k.'s national health service (nhs) has tapped it researcher gartner inc. to provide market intelligence services as the health organization forges ahead with a mammoth, 5 billion (\$9.2 billion) project to upgrade its information technology infrastructure . 	2
even though google's two founders gave an interview to playboy magazine in the midst of its ipo filing, the sec allowed the company's offering to go ahead. the boys filed the interview with the sec and corrected mistakes in it . 	2
ap - a russian cargo ship docked with the international space station saturday, bringing food, water, fuel and other items to the two-man russian-american crew, a space official said . 	3
ap - the black-tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened . 	3
ap - rescuers succeeded in freeing a minke whale that washed up on a beach in southeastern brazil, the fire department said thursday . 	3
ap - a red-footed falcon spotted for the first time in north america is enticing birdwatchers to martha's vineyard . 	3
ap - the prospect that a tropical storm and a hurricane  #151; or possibly two hurricanes  #151; could strike florida on the same day is something meteorologists say they have never seen . 	3
ap - his hand on a toggle switch and his eyes on a computer screen, oregon state university graduate student anthony kirincich uses an array of scientific instruments to probe the vibrant waters of the pacific. he is searching for the absence of life . 	3
ap - authorities once had no choice but to drop rape cases if they weren't able to catch a suspect before the statute of limitations expired. but prosecutors across the country increasingly are buying themselves time, keeping cold cases alive by indicting unidentified rapists using their dna profiles . 	3
the new republic's website is currently carrying an interesting piece which tries to explain the anomaly that although the us economy is growing, a lot of its citizens are still feeling worse off. the article explains the results of a 40 year panel study which has shown that although mean incomes have increased, income variability has increased massively, causing many americans to feel less well off, despite the growing economy . 	3
queue submissions being scarce, i suggest we all submit limericks for consideration.  mod up your favorites.    i'm no poet, so i'll submit a favorite of my childhood:    there was a young woman named bright,  who traveled much faster than light    she set out one day  in a relative way    and returned on the previous night.    i'm afraid i don't remember the author . 	3
\\for some reason i never released this code.\\i developed it while working on newsmonster and just forgot i think\\it's an extension for mozilla that allows you to see all runtime exceptions\(with full stack traces) that are unhandled by mozilla. \\just install it and if your code generates an unhandled exception it will show\up in the logs and on the console.\\very handy for doing any hardcore mozilla development.\\ 	3
"\\sun has announced that java3d will be released in a different manner than any\other sun project in existence.\\""we announce the availability of the source code for the java 3d api on\java.net.  we are involving developers in the evolution of the java 3d api.\come join the java 3d projects on java.net, and download the source code for\the core java 3d api, vecmath, the java 3d core utilities, and the java 3d\program examples.""\\the key thing here is that they have provided the core utils under a bsd license\and even have the cvs available .\\good job sun!  you're headed in the right direction!\\here's the only problem:\\""we are releasing the source code for the j3d-core and vecmath projects u ...\\ "	3
&lt;strong&gt;poll results&lt;/strong&gt; bright news for resident &lt;em&gt;reg&lt;/em&gt; ladyboy 	3
the uk's ad watchdog rules over which net connections can be described as full speed broadband . 	3
doom 3 goes on sale in the uk at a time of renewed concerns over violence in video games . 	3
"los angeles (reuters) - a group of consumer electronics  makers said on wednesday they approved the format for a new  generation of discs that can store five times the data of dvds  at the same cost -- enough to put a full season of ""the  sopranos"" on one disc . "	3
as deborah p. majoras takes over the federal trade commission on monday, she's expected to build on the broad agenda set by her predecessor, timothy j. muris . 	3
"the annual perseid meteor shower could provide a ""spectacular"" show, despite a disappointing start . "	3
a disturbance free zone for nesting birds is put at risk by vandals who cut down the boundary fence . 	3
new analysis of fossil bones indicates that adolescent &lt;i&gt;tyrannosaurus rex&lt;/i&gt; dinosaurs grew extremely rapidly, quickly reaching gigantic size . 	3
in the new movie &lt;i&gt;danny deckchair,&lt;/i&gt; a truck driver ties party balloons to a chair and flies away. it's called cluster ballooning, and believe it or not, it's a real sport . 	3
chandra x-ray observatory -- a nasa chandra x-ray observatory image has revealed a complex of several intergalactic hot gas clouds in the process of merging.     the superb chandra spatial resolution made it possible to distinguish individual galaxies from the massive clouds of hot gas.. . 	3
by harry bortman    in this second and final part of the interview, lunine explains how huygens may help scientists understand the origin of life on earth, even if it doesn't detect life on titan.    astrobiology magazine -- titan is the only moon in our solar system with an atmosphere, and it is the organic chemistry that has been detected in that atmosphere that has sparked the imagination of planetary scientists like lunine.. . 	3
globular star clusters are like spherical cathedrals of light -- collections of millions of stars lumped into a space only a few dozen light-years across. if the earth resided within a globular cluster, our night sky would be alight with thousands of stars more brilliant than sirius . 	3
by s. srinivasan    bangalore, india (ap) -- india is rethinking its plan to send a man to the moon by 2015, as the mission would cost a lot of money and yield very little in return, the national space agency said thursday.. . 	3
"big blue's ""dinosaur"" mainframe business gets a boost with a european customer consolidating sap applications using linux . "	3
a vulnerability in aol's instant messenger could allow attacks. also: a new bagle variant rumbles across the net . 	3
nortel scores its first major wireless deal with an indian service provider . 	3
bundle of professional video editing applications includes new motion special-effects software . 	3
officials at sun microsystems, javalobby, and infravio this week revealed initiatives positioned as advances in either java development or web services consumption . 	3
leading isps, anti-spam vendors, and e-mail software companies are moving quickly to add support for the microsoft-backed anti-spam technology standard sender id, even as some e-mail experts raise doubts that the technology will work . 	3
microsoft partners with blockbuster online, cinemanow, and movietickets.com on one-stop entertainment portal . 	3
networked multifunction devices share pc vulnerabilities to worms, hackers . 	3
"by jeffrey gold    paterson, n.j.(ap) - a state judge ordered toys ""r"" us and amazon.com to work together so the online retailer can abide by her order requiring amazon to keep sellers on its web site from listing products to which toys ""r"" us, which also markets through amazon, has exclusive rights.     superior court judge margaret m.. . "	3
google inc. (goog) will close the registration process for its ipo auction thursday, setting the stage for the online search engine leader's hotly anticipated stock market debut. google plans to launch an unusual auction to sell 25.7 million shares shortly after closing the registration . 	3
tired of those unwelcome pests that invade your computer without permission? banish intrusive spyware and tracking cookies with yahoo's newly upgraded toolbar . 	3
google and yahoo announced today that they have resolved two contentious issues between the companies . 	3
google ipo registration ends today\\google has set their ipo registration deadline at today for investors to register for the google initial public offering.\\investors wishing to participate in google's initial public offering have until 5 pm today to register for the auction at ipo.google.com, according to a statement issued tuesday on .. . 	3
in this article we will look at a means to bypass the access control restrictions of a company's router or firewall.  this information is intended to provide help for those who are legitimately testing the security of a network (whether they are in-house expertise or outside consultants) . 	3
#147;no other dvd authoring program in the \$500 price class is capable of creating such stunning, highly creative dvds as apple #146;s dvd studio pro 3, #148; writes pc magazine.  #147;for video pros looking to take their productions to the next level, it #146;s worth a serious look. #148; aug 4 	3
attendees at this year #146;s powerschool university ramped up their student information system skills with the new powerschool 4.0 and augmented their development activities through peer networking. aug 3 	3
ap - the cleveland indians pulled within one game of the al central lead, scoring four runs in the first inning and beating the minnesota twins 7-1 saturday night behind home runs by travis hafner and victor martinez . 	1
athens (reuters) - the united states beat canada in a world  best time to qualify for the final of the men's olympic eights  race sunday, as the two crews renewed their fierce rivalry in  front of a raucous crowd at schinias . 	1
rich gannon , the 2002 nfl mvp who was knocked out of the raiders' loss to kansas city last oct. 20 and had shoulder surgery in november, was 9 for 15 for 69 yards in visiting oakland's 33-30 exhibition win over the san francisco 49ers last night . 	1
ian thorpe sets the fastest time in the 200m freestyle as swimming's top names cruise into the semi-finals . 	0
santa barbara's sheriff asks a judge if he can release the results of an inquiry into michael jackson's treatment by police . 	0
georgia and south ossetia negotiate the details of a truce they forged, despite reports of a village attack . 	0
the british journalist who was kidnapped in iraq says he faced mock executions and tried to escape his captors . 	0
a man convicted of raping and killing a schoolgirl is hanged in india's first execution in nine years . 	0
sarajevo, bosnia-herzegovina -- when nato forces first came to bosnia nearly a decade ago, they lived in heavily guarded compounds, patrolled the streets in tanks, and often wore full body armor . 	0
reuters - soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market this week during the depth of the\summer doldrums . 	2
ap - george zahringer iii is back for another shot at the u.s. amateur. the new yorker is one of three returning quarterfinalists for the tournament, which begins monday at the winged foot golf club. lee williams of alexander city, ala., and patrick carter of lesage, w.va., complete the trio from last year's championship that was won by nick flanagan of australia . 	1
reuters - thousands of u.s. troops in afghanistan\may have failed to catch osama bin laden but they are credited\with encouraging millions of afghans to register for the\country's historic election in october . 	0
kabul (reuters) - thousands of u.s. troops in afghanistan  may have failed to catch osama bin laden but they are credited  with encouraging millions of afghans to register for the  country's historic election in october . 	0
jam band phish play their last gigs together at a special festival in the us which has attracted thousands of fans . 	0
athens (reuters) - south africa ruined michael phelps's  dream of winning a record eight gold medals at the athens  olympics with a stunning victory in the men's 4x100 meters  freestyle final on sunday . 	1
punta gorda, fla. - residents left homeless by hurricane charley's 145 mph winds dug through their ravaged homes on sunday, sweeping up shattered glass and rescuing what they could as president bush promised rapid delivery of disaster aid.. . 	0
"caracas, venezuela - summoned by bugle calls and firecrackers, millions of venezuelans turned out in unprecedented numbers sunday to vote on whether to force leftist president hugo chavez from office.    lines snaked for blocks in upscale neighborhoods, where suspicion is high that the leftist leader plans a cuba-style dictatorship, and in the slums, where support for his ""revolution for the poor"" is fervent.. . "	0
ap - brett tomko allowed one run in six innings for his first win in nearly a month and helped san francisco complete a three-game sweep of the philadelphia phillies with a 3-1 victory sunday . 	1
ap - adrian beltre and shawn green homered, and steve finley hit a go-ahead rbi single in the eighth inning as the los angeles dodgers rallied for an 8-5 victory over the chicago cubs on sunday . 	1
united nations (reuters) - the u.n. security council met in  emergency session concerning burundi on sunday following the  massacre of more than 150 tutsi congolese refugees at a camp in  western burundi . 	0
ap - michael phelps surely didn't bargain for this. his quest to win eight gold medals is over, doomed by america's worst showing in the 400-meter freestyle relay. gary hall jr. is ticked off. and now comes the toughest race of all against ian thorpe. not exactly what phelps had in mind when he decided to challenge mark spitz . 	1
figuring out how much executives get paid can be like predicting the weather -- an inexact science . 	2
ap - this is what everyone was waiting for from willis mcgahee. after 19 months of recuperation and countless questions about the strength of his left knee, the buffalo bills running back finally provided some answers. mcgahee had the go-ahead score on a 1-yard run in his nfl preseason debut, helping the bills to a 16-6 win over the denver broncos on sunday . 	1
trenton, n.j. - high-level new jersey democrats said sunday that pressure is building among members of gov.. . 	0
wal-mart, stung by criticism of its business tactics, is working to improve its image by supporting public broadcasting . 	2
spending on research will more than double this year, with a growing amount coming from the private sector . 	3
afp - two chinese travelling salesmen have been gunned down in southern thailand as part of separatist violence which has claimed more than 275 lives since the start of the year, officials said . 	0
foxborough -- matt light lost his appendix this summer and, as a result, quite a few pounds, but he didn't lose one ounce of his wit . 	1
tony azevedo whizzed a last-second shot past croatian goalkeeper frano vican to give the american water polo team a 7-6 victory in its tournament opener yesterday . 	1
athens -- there's only room for one cinderella in a boxing ring. that was the sad lesson andre berto learned last night as his long road to the olympic games came to an abrupt end at the peristeri boxing hall in his first fight in the welterweight division. first fight, that is, unless you understand what it took for him .. . 	1
ap - the boy chosen by the chinese government as the reincarnation of the panchen lama was greeted warmly by dozens of monks when he visited tibet's most sacred temple, state television reported, giving rare publicity to one of his appearances . 	0
the debate over whether companies should  treat stock options as an expense draws mixed reactions from washington area businesses, some of which have a lot to lose if the accounting rule changes . 	3
workers at sri lanka's main oil company end a two-day strike, held in protest at government plans to sell more of the company . 	2
sony and microsoft confront consumer apathy as they attempt to turn game consoles into multipurpose entertainment gadgets . 	3
kohler, wis. (reuters) - fiji's vijay singh held his  composure to win the 86th u.s. pga championship in a three-way  playoff on sunday, clinching the third major title of his  career . 	1
damascus (reuters) - a syrian court has agreed to release  on bail a prominent rights activist who faces trial on charges  of tarnishing the image of the arab state by publishing false  information, one of his lawyers said monday . 	0
israel launches psychological war against hundreds of palestinian inmates on hunger strike for better conditions . 	0
"a new software tool from wholesecurity inc. can spot fraudulent web sites used in online cons known as ""phishing"" scams, according to a statement from the company . "	3
reuters - the government is expected to slash customs and excise duties on petroleum products in a bid to control inflation without hurting the profitability of oil firms, an oil industry official said on monday . 	0
baghdad (reuters) - interim prime minister iyad allawi  urged an iraqi court monday to speed up proceedings against  toppled leader saddam hussein and his close aides . 	0
a newly revealed summit of terrorists raises fears of a fresh plan to attack the u.s. this bombmaker and pilot could be a key player 	0
european antitrust regulators extend their review of microsoft-time warner deal. also: gateway plans to sell desktops at compusa   hellip;. vodafone's japanese unit headhunts an executive from rival ntt docomo   hellip;. and more . 	2
did the same greek philosophers who declared the first truce for olympic competition have the foresight to imagine a universe not just where many countries could coexist, but also a universe occupied by many such habitable worlds? 	3
regulators could still launch an investigation into the two titans' acquisition of contentguard this month . 	3
roundup plus: microsoft ships updated works...facetime pulls in \$16 million...bladed desktop pioneer gets \$25 million . 	3
ap - for 12-year-old anju sharma, hope for a better life arrives in her poor farming village three days a week on a bicycle rickshaw that carries a computer with a high-speed, wireless internet connection . 	3
kibbutz tzuba, israel - archaeologists said monday they have found a cave where they believe john the baptist anointed many of his disciples - a huge cistern with 28 steps leading to an underground pool of water.    during an exclusive tour of the cave by the associated press, archaeologists presented wall carvings they said tell the story of the fiery new testament preacher, as well as a stone they believe was used for ceremonial foot washing.. . 	0
by christopher toothaker     caracas, venezuela (ap) -- the high-tech thumbprint devices were meant to keep people from voting more than once in the recall ballot against president hugo chavez. instead, they often wound up working fitfully - even when chavez himself voted - contributing to huge delays in sunday's historic referendum.. . 	3
ap - robert d. wall is too careful a scientist to say he's on the verge of a sensational discovery . 	3
